gpr_mean,true_y,gpr_lwr,gpr_upr,day,cf_mean
7.632294472881026e-07,1.7472193004832811e-06,3.685656393184566e-07,1.1578932552577485e-06,248,7.632294472881026e-07
7.642944024018947e-07,0.0,3.6963062322995435e-07,1.1589581815738352e-06,249,7.642944024018947e-07
7.65437501659146e-07,0.0,3.707736975989642e-07,1.160101305719328e-06,250,7.65437501659146e-07
7.666572342103759e-07,0.0,3.719933763780436e-07,1.161321092042708e-06,251,7.666572342103759e-07
7.679520510624538e-07,0.0,3.7328813394858577e-07,1.1626159681763218e-06,252,7.679520510624538e-07
7.69320366051265e-07,0.0,3.746564060461058e-07,1.1639843260564244e-06,253,7.69320366051265e-07
7.707605568454534e-07,0.0,3.760965907260035e-07,1.1654245229649034e-06,254,7.707605568454534e-07
7.722709659813468e-07,0.0,3.7760704936977196e-07,1.1669348825929217e-06,255,7.722709659813468e-07
7.738499019287233e-07,1.59041931405215e-06,3.791861077310033e-07,1.1685136961264432e-06,256,7.738499019287233e-07
7.754956401873157e-07,0.0,3.808320570208076e-07,1.170159223353824e-06,257,7.754956401873157e-07
7.772064244138717e-07,0.0,3.825431550321776e-07,1.1718696937955658e-06,258,7.772064244138717e-07
7.789804675792749e-07,0.0,3.843176273024169e-07,1.1736433078561328e-06,259,7.789804675792749e-07
7.808159531556471e-07,0.0,3.8615366831320734e-07,1.1754782379980868e-06,260,7.808159531556471e-07
7.827110363329397e-07,0.0,3.8804944272737443e-07,1.177372629938505e-06,261,7.827110363329397e-07
7.846638452644888e-07,0.0,3.9000308666149705e-07,1.1793246038674808e-06,262,7.846638452644888e-07
7.866724823413482e-07,0.0,3.9201270899363085e-07,1.1813322556890658e-06,263,7.866724823413482e-07
7.887350254945881e-07,0.0,3.9407639270496777e-07,1.1833936582842084e-06,264,7.887350254945881e-07
7.908495295251328e-07,0.0,3.961921962545055e-07,1.1855068627957602e-06,265,7.908495295251328e-07
7.930140274605629e-07,0.0,3.9835815498568123e-07,1.1876698999354444e-06,266,7.930140274605629e-07
7.952265319380658e-07,1.976905786600928e-06,4.005722825637028e-07,1.1898807813124288e-06,267,7.952265319380658e-07
7.974850366129717e-07,0.0,4.0283257244250645e-07,1.1921375007834371e-06,268,7.974850366129717e-07
7.997875175919989e-07,0.0,4.0513699936000124e-07,1.1944380358239966e-06,269,7.997875175919989e-07
8.021319348904197e-07,0.0,4.074835208603623e-07,1.196780348920477e-06,270,8.021319348904197e-07
8.045162339122295e-07,0.0,4.098700788419126e-07,1.1991623889825464e-06,271,8.045162339122295e-07
8.069383469524922e-07,0.0,4.1229460112939324e-07,1.2015820927755911e-06,272,8.069383469524922e-07
8.093961947207739e-07,0.0,4.1475500306901214e-07,1.2040373863725356e-06,273,8.093961947207739e-07
8.118876878846402e-07,1.940907141179645e-06,4.1724918914482556e-07,1.2065261866244548e-06,274,8.118876878846402e-07
8.144107286321946e-07,0.0,4.197750546150044e-07,1.209046402649385e-06,275,8.144107286321946e-07
8.169632122524715e-07,0.0,4.2233048716637015e-07,1.211595937338573e-06,276,8.169632122524715e-07
8.19543028732489e-07,0.0,4.2491336858562434e-07,1.2141726888793536e-06,277,8.19543028732489e-07
8.2214806436976e-07,1.9074832475283786e-06,4.275215764456662e-07,1.2167745522938537e-06,278,8.2214806436976e-07
8.247762033989332e-07,0.0,4.3015298580531435e-07,1.219399420992552e-06,279,8.247762033989332e-07
8.274253296312313e-07,1.8489483181966096e-06,4.32805470920748e-07,1.2220451883417144e-06,280,8.274253296312313e-07
8.300933281053225e-07,0.0,4.354769069670302e-07,1.2247097492436147e-06,281,8.300933281053225e-07
8.32778086748168e-07,0.0,4.381651717678598e-07,1.2273910017284762e-06,282,8.32778086748168e-07
8.354774980444239e-07,2.03829965043161e-06,4.4086814753193717e-07,1.2300868485569108e-06,283,8.354774980444239e-07
8.381894607127395e-07,0.0,4.4358372259399626e-07,1.232795198831483e-06,284,8.381894607127395e-07
8.409118813875652e-07,0.0,4.4630979315887963e-07,1.235513969616251e-06,285,8.409118813875652e-07
8.436426763047673e-07,0.0,4.4904426504673527e-07,1.2382410875627993e-06,286,8.436426763047673e-07
8.463797729893548e-07,1.78936010693216e-06,4.517850554375e-07,1.2409744905412094e-06,287,8.463797729893548e-07
8.49121111943788e-07,1.7433630169943028e-06,4.545300946129173e-07,1.2437121292746588e-06,288,8.49121111943788e-07
8.518646483350017e-07,0.0,4.5727732769411165e-07,1.2464519689758915e-06,289,8.518646483350017e-07
8.546083536785609e-07,0.0,4.6002471637304027e-07,1.2491919909840816e-06,290,8.546083536785609e-07
8.573502175178979e-07,0.0,4.6277024063562954e-07,1.2519301944001664e-06,291,8.573502175178979e-07
8.600882490971874e-07,0.0,4.65511900475125e-07,1.2546645977192498e-06,292,8.600882490971874e-07
8.62820479025709e-07,0.0,4.6824771759343626e-07,1.2573932404579817e-06,293,8.62820479025709e-07
8.655449609320211e-07,0.0,4.709757370887582e-07,1.2601141847752842e-06,294,8.655449609320211e-07
8.682597731060733e-07,1.7875561069173058e-06,4.7369402912762437e-07,1.2628255170845222e-06,295,8.682597731060733e-07
8.709630201271255e-07,0.0,4.764006905992417e-07,1.2655253496550092e-06,296,8.709630201271255e-07
8.736528344759717e-07,1.989590462699158e-06,4.790938467506174e-07,1.268211822201326e-06,297,8.736528344759717e-07
8.763273781292036e-07,0.0,4.817716528003116e-07,1.2708831034580957e-06,298,8.763273781292036e-07
8.789848441336291e-07,0.0,4.844322955289496e-07,1.2735373927383087e-06,299,8.789848441336291e-07
8.816234581591757e-07,0.0,4.870739948449245e-07,1.276172921473427e-06,300,8.816234581591757e-07
8.842414800279427e-07,3.5257076976776165e-06,4.896950053230307e-07,1.2787879547328547e-06,301,8.842414800279427e-07
8.868372052177829e-07,0.0,4.922936177145169e-07,1.2813807927210488e-06,302,8.868372052177829e-07
8.894089663382409e-07,0.0,4.948681604265171e-07,1.283949772249965e-06,303,8.894089663382409e-07
8.919551345772048e-07,0.0,4.974170009693439e-07,1.2864932681850655e-06,304,8.919551345772048e-07
8.944741211159026e-07,0.0,4.999385473693742e-07,1.2890096948624312e-06,305,8.944741211159026e-07
8.969643785108324e-07,3.601708650583837e-06,5.024312495463214e-07,1.2914975074753435e-06,306,8.969643785108324e-07
8.994244020403741e-07,0.0,5.048936006527404e-07,1.2939552034280077e-06,307,8.994244020403741e-07
9.018527310143633e-07,0.0,5.073241383742568e-07,1.2963813236544696e-06,308,9.018527310143633e-07
9.042479500446993e-07,0.0,5.097214461886968e-07,1.298774453900702e-06,309,9.042479500446993e-07
9.066086902752665e-07,3.553767615581849e-06,5.120841545826106e-07,1.3011332259679226e-06,310,9.066086902752665e-07
9.089336305692442e-07,0.0,5.144109422234285e-07,1.30345631891506e-06,311,9.089336305692442e-07
9.112214986521094e-07,0.0,5.167005370856866e-07,1.305742460218532e-06,312,9.112214986521094e-07
9.134710722086394e-07,0.0,5.189517175298552e-07,1.3079904268874233e-06,313,9.134710722086394e-07
9.156811799320925e-07,4.949082192707363e-06,5.211633133320736e-07,1.3101990465321113e-06,314,9.156811799320925e-07
9.178507025241177e-07,0.0,5.233342066635392e-07,1.3123671983846963e-06,315,9.178507025241177e-07
9.199785736435271e-07,3.249448812245223e-06,5.254633330178278e-07,1.3144938142692263e-06,316,9.199785736435271e-07
9.220637808026959e-07,4.695092845461019e-06,5.275496820850953e-07,1.3165778795202965e-06,317,9.220637808026959e-07
9.241053662098189e-07,0.0,5.295922985715413e-07,1.3186184338480964e-06,318,9.241053662098189e-07
9.261024275556841e-07,0.0,5.315902829629172e-07,1.3206145721484512e-06,319,9.261024275556841e-07
9.280541187436058e-07,0.0,5.335427922309378e-07,1.322565445256274e-06,320,9.280541187436058e-07
9.299596505611909e-07,0.0,5.354490404813249e-07,1.324470260641057e-06,321,9.299596505611909e-07
9.318182912925304e-07,1.5668995601712934e-06,5.373082995422994e-07,1.3263282830427617e-06,322,9.318182912925304e-07
9.336293672698479e-07,0.0,5.391198994925943e-07,1.3281388350471016e-06,323,9.336293672698479e-07
9.35392263363346e-07,1.6874105672399363e-06,5.408832291279199e-07,1.3299012975987724e-06,324,9.35392263363346e-07
9.371064234081352e-07,0.0,5.425977363648129e-07,1.3316151104514576e-06,325,9.371064234081352e-07
9.387713505674615e-07,0.0,5.442629285812766e-07,1.3332797725536465e-06,326,9.387713505674615e-07
9.403866076311423e-07,1.6566604376234212e-06,5.458783728931007e-07,1.334894842369184e-06,327,9.403866076311423e-07
9.419518172484738e-07,3.0676352213605576e-06,5.474436963653049e-07,1.3364599381316427e-06,328,9.419518172484738e-07
9.434666620948692e-07,4.640873721826029e-06,5.489585861579922e-07,1.3379747380317462e-06,329,9.434666620948692e-07
9.449308849715734e-07,0.0,5.504227896060611e-07,1.3394389803370856e-06,330,9.449308849715734e-07
9.463442888378335e-07,1.6136710208889713e-06,5.518361142321344e-07,1.3408524634435327e-06,331,9.463442888378335e-07
9.477067367750678e-07,3.523397118565837e-06,5.531984276924296e-07,1.342215045857706e-06,332,9.477067367750678e-07
9.490181518826788e-07,0.0,5.545096576551094e-07,1.3435266461102481e-06,333,9.490181518826788e-07
9.502785171051715e-07,1.6037746440021234e-06,5.557697916109277e-07,1.344787242599415e-06,334,9.502785171051715e-07
9.514878749902546e-07,1.564108098638913e-06,5.569788766157853e-07,1.345996873364724e-06,335,9.514878749902546e-07
9.526463273780888e-07,6.2752086899089936e-06,5.581370189654194e-07,1.3471556357907583e-06,336,9.526463273780888e-07
9.537540350213074e-07,0.0,5.592443838018555e-07,1.3482636862407592e-06,337,9.537540350213074e-07
9.548112171361085e-07,1.749891506726583e-06,5.603011946518957e-07,1.3493212396203214e-06,338,9.548112171361085e-07
9.558181508845519e-07,0.0,5.61307732897814e-07,1.3503285688712895e-06,339,9.558181508845519e-07
9.56775170788205e-07,1.9597237573391653e-06,5.622643371803262e-07,1.351286004396084e-06,340,9.56775170788205e-07
9.57682668073667e-07,0.0,5.63171402734407e-07,1.3521939334129271e-06,341,9.57682668073667e-07
9.585410899502084e-07,0.0,5.64029380658126e-07,1.353052799242291e-06,342,9.585410899502084e-07
