tfe_mean,tfe_lwr,tfe_upr
0.596,-0.028,1.219
0.516,-0.113,1.144
0.739,0.111,1.368
1.748,1.099,2.397
2.113,1.468,2.759
1.924,1.281,2.567
1.648,1.008,2.288
1.903,1.265,2.54
1.67,1.039,2.302
0.623,-0.0,1.247
1.213,0.591,1.836
0.957,0.336,1.578
2.227,1.599,2.856
1.174,0.556,1.792
1.313,0.692,1.934
1.319,0.7,1.939
1.158,0.537,1.778
0.756,0.134,1.378
0.793,0.172,1.413
1.364,0.74,1.988
1.097,0.47,1.723
-0.326,-0.955,0.304
0.031,-0.598,0.66
-0.17,-0.797,0.456
-0.441,-1.066,0.185
-0.172,-0.803,0.459
-0.397,-1.023,0.23
-0.081,-0.705,0.543
0.507,-0.117,1.13
0.271,-0.352,0.894
0.555,-0.065,1.174
0.863,0.243,1.482
1.013,0.39,1.637
0.542,-0.074,1.157
0.385,-0.232,1.002
0.472,-0.147,1.091
0.512,-0.108,1.133
0.606,-0.017,1.228
0.83,0.206,1.455
1.118,0.486,1.75
1.483,0.854,2.112
1.777,1.142,2.412
1.004,0.382,1.626
1.239,0.617,1.861
1.001,0.384,1.619
1.304,0.689,1.919
1.883,1.268,2.497
1.614,1.002,2.227
1.525,0.913,2.137
1.831,1.22,2.442
1.476,0.862,2.09
1.965,1.355,2.575
1.795,1.183,2.406
1.877,1.265,2.49
1.909,1.294,2.523
1.988,1.372,2.604
2.211,1.594,2.828
0.405,-0.228,1.039
0.792,0.161,1.423
0.592,-0.035,1.219
0.301,-0.321,0.923
0.686,0.063,1.308
0.428,-0.194,1.051
0.558,-0.059,1.174
1.129,0.515,1.743
0.852,0.238,1.465
0.762,0.149,1.375
1.073,0.46,1.686
0.728,0.118,1.339
0.718,0.108,1.328
1.034,0.415,1.652
0.618,0.005,1.231
0.647,0.031,1.262
0.727,0.11,1.344
0.951,0.331,1.571
-0.009,-0.845,0.826
0.302,-0.532,1.136
0.441,-0.389,1.27
0.445,-0.383,1.273
0.286,-0.542,1.114
0.376,-0.452,1.205
0.418,-0.411,1.247
0.503,-0.326,1.332
0.238,-0.601,1.077
2.423,1.638,3.208
1.133,0.368,1.897
1.035,0.272,1.797
1.311,0.55,2.072
0.939,0.183,1.694
0.912,0.158,1.666
0.717,-0.037,1.471
0.774,0.019,1.53
0.799,0.043,1.556
0.871,0.112,1.629
1.087,0.326,1.847
0.327,-0.303,0.958
0.697,0.07,1.323
0.497,-0.127,1.121
0.22,-0.4,0.84
0.477,-0.143,1.097
0.25,-0.366,0.866
0.559,-0.055,1.173
1.634,1.014,2.254
0.872,0.26,1.484
0.783,0.172,1.394
1.086,0.475,1.697
1.223,0.613,1.833
1.228,0.618,1.838
1.059,0.448,1.67
0.657,0.041,1.272
0.688,0.071,1.305
1.261,0.644,1.877
1.484,0.865,2.102
0.955,0.3,1.61
1.304,0.656,1.952
1.118,0.474,1.762
0.836,0.198,1.474
1.075,0.436,1.714
0.86,0.228,1.493
1.183,0.554,1.813
0.72,0.099,1.34
0.54,-0.078,1.158
0.472,-0.145,1.09
0.771,0.153,1.39
0.9,0.277,1.523
0.408,-0.209,1.026
0.24,-0.381,0.86
0.306,-0.317,0.929
0.324,-0.302,0.949
0.392,-0.236,1.021
0.595,-0.039,1.23
0.697,-0.088,1.483
0.514,-0.268,1.295
0.431,-0.352,1.214
0.929,0.165,1.693
0.574,-0.186,1.334
1.041,0.275,1.807
0.366,-0.392,1.124
0.467,-0.291,1.225
0.528,-0.23,1.287
0.617,-0.142,1.377
0.834,0.073,1.595
1.284,0.281,2.287
1.58,0.57,2.59
1.16,0.158,2.163
1.19,0.188,2.192
1.279,0.276,2.281
1.507,0.503,2.51
0.611,-0.021,1.244
0.966,0.338,1.594
0.763,0.139,1.387
0.482,-0.138,1.102
0.888,0.266,1.51
0.655,0.032,1.278
0.81,0.194,1.427
1.399,0.785,2.014
1.137,0.524,1.75
2.409,1.753,3.065
1.354,0.741,1.966
1.0,0.388,1.611
1.488,0.873,2.103
0.836,0.223,1.448
1.413,0.795,2.03
0.967,0.351,1.583
1.054,0.435,1.674
1.769,1.145,2.392
2.057,1.219,2.895
3.531,2.718,4.344
3.764,2.956,4.573
3.686,2.892,4.48
3.628,2.837,4.419
3.401,2.61,4.192
3.557,2.765,4.349
3.041,2.243,3.838
3.567,2.774,4.36
3.768,2.973,4.563
1.241,0.236,2.245
1.084,0.08,2.089
1.67,0.665,2.675
1.219,0.214,2.223
1.784,0.78,2.789
2.002,0.998,3.007
2.311,1.37,3.252
2.777,1.843,3.712
2.542,1.61,3.475
2.616,1.683,3.549
2.639,1.706,3.572
2.753,1.82,3.686
1.362,0.404,2.319
0.18,-0.754,1.113
0.169,-0.763,1.101
-0.011,-0.942,0.921
0.056,-0.876,0.987
0.085,-0.847,1.016
0.151,-0.781,1.083
0.371,-0.562,1.303
1.427,0.801,2.053
1.791,1.167,2.415
2.085,1.453,2.716
1.329,0.711,1.948
1.772,1.151,2.394
1.381,0.762,2.0
1.695,1.078,2.312
2.304,1.688,2.921
2.531,1.907,3.154
2.451,1.826,3.076
2.278,1.662,2.893
2.423,1.81,3.037
2.429,1.815,3.043
1.774,1.156,2.392
2.705,2.073,3.336
2.742,2.108,3.376
2.334,1.694,2.974
2.55,1.907,3.193
0.674,0.046,1.303
1.006,0.384,1.628
0.804,0.184,1.424
0.525,-0.092,1.143
0.917,0.298,1.535
0.663,0.045,1.282
0.955,0.333,1.576
2.016,1.388,2.644
1.127,0.512,1.743
1.494,0.866,2.121
