gpr_mean,true_y,gpr_lwr,gpr_upr,year,country
3.0929706039753437,4.0,1.6074877169733661,4.578453490977322,1984,BOR-FAS.UV
3.2429070606210635,2.0,1.7607350089342608,4.725079112307866,1985,BOR-FAS.UV
3.4038179912673128,3.0,1.9268466734032899,4.880789309131336,1986,BOR-FAS.UV
3.7046236662841188,4.0,2.2294911451509023,5.179756187417335,1987,BOR-FAS.UV
3.903610989354106,5.0,2.4309407375010927,5.37628124120712,1988,BOR-FAS.UV
3.897744984920058,5.0,2.429240407927555,5.366249561912561,1989,BOR-FAS.UV
3.6605340319206565,3.0,2.1963701852231923,5.124697878618121,1990,BOR-FAS.UV
3.262141451634979,4.0,1.8004962016639066,4.723786701606051,1991,BOR-FAS.UV
2.8753547181111005,2.0,1.4136647280312584,4.337044708190943,1992,BOR-FAS.UV
2.5776954091938915,2.0,1.11337929996531,4.042011518422473,1993,BOR-FAS.UV
2.4251384321159635,3.0,0.9561075314268714,3.8941693328050553,1994,BOR-FAS.UV
2.4035794316516665,2.0,0.9297362231757025,3.8774226401276306,1995,BOR-FAS.UV
2.4969176875895527,1.0,1.0199058973563462,3.973929477822759,1996,BOR-FAS.UV
2.6808677336197038,4.0,1.20146280124759,4.160272665991817,1997,BOR-FAS.UV
2.9658742043096886,2.0,1.482509119812337,4.44923928880704,1998,BOR-FAS.UV
3.6234575597171856,4.0,2.134736352488321,5.11217876694605,1999,BOR-FAS.UV
3.695255181712002,4.0,2.201563993288246,5.188946370135758,2000,BOR-FAS.UV
4.438388293332274,3.0,3.0010594517490663,5.875717134915481,1983,LIBERIA
4.276073153804822,6.0,2.873562572619435,5.678583734990208,1984,LIBERIA
4.171401362592009,3.0,2.7954646385350324,5.5473380866489865,1985,LIBERIA
4.1903507534739655,3.0,2.8144196433261905,5.56628186362174,1986,LIBERIA
4.353487345459307,4.0,2.950993808201167,5.755980882717447,1987,LIBERIA
4.617084105413667,5.0,3.179833171578556,6.0543350392487785,1988,LIBERIA
6.648456036287032,7.0,5.434965918799124,7.861946153774941,1998,LIBERIA
6.709292452879307,8.0,5.54773205162337,7.870852854135244,1999,LIBERIA
6.594903213601711,7.0,5.384626029861195,7.805180397342227,2000,LIBERIA
2.398556008709778,2.0,1.08647905050779,3.710632966911766,1983,SIERRA-L
2.0996739265211826,1.0,0.8778156316048746,3.3215322214374905,1984,SIERRA-L
1.9827778360639994,1.0,0.8237763170385193,3.1417793550894793,1985,SIERRA-L
